MP db name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,Notes (State's Averages)
Uma Shanker Singh,Elected,18-May-09,In office,Bihar,Maharajganj,Rashtriya Janata Dal,Male,Inter/ Higher Secondary,"Educated at D.A.V. College, Siwan, Bihar",70,7,0,51,86%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Usha Verma,Elected,18-May-09,In office,Uttar Pradesh,Hardoi,Samajwadi Party,Female,Post Graduate,"M.A. (English); Educated at S.D. Degree College and B.S.M. Degree College, Roorkee, Uttar Pradesh",47,6,0,40,84%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
V. Kishore Chandra S. Deo,Elected,18-May-09,In office,Andhra Pradesh,Araku,Indian National Congress,Male,Post Graduate,"B.A. (Eco), M.A. (Political Science); Educated at Madras Christian College, Tambaram, Madras",63,1,0,0,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
V. Narayanasamy,Elected,18-May-09,In office,Puducherry,Puducherry,Indian National Congress,Male,Post Graduate,"B.A., M.L.; Tagore Art College, Puducherry and Madras Law College, Chennai",63,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,All MPs from this State are Ministers
Vijay Bahadur Singh,Elected,18-May-09,In office,Uttar Pradesh,Hamirpur,Bahujan Samaj Party,Male,Graduate,"B.A., LL.B.; Educated at Allahabad University (Uttar Pradesh) ",69,22,0,3,84%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Vijay Bahuguna,Elected,18-May-09,In office,Uttarakhand,Tehri Garhwal,Indian National Congress,Male,Graduate,"B.A., LLB.; Educated at Allahabad University, Uttar Pradesh",63,5,0,4,94%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.5,2.8,20,91%,
Vijay Inder Singla,Elected,18-May-09,In office,Punjab,Sangrur,Indian National Congress,Male,Graduate,"B.E.; Educated at B.M.S. College of Engineering, Bangalore (Karnataka) ",38,0,0,0,85%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.1,29,78%,
Vikrambhai Arjanbhai Maadam,Elected,18-May-09,In office,Gujarat,Jamnagar,Indian National Congress,Male,Graduate,"B.A. (Political Science); Educated at Saurashtra University, Jamnagar (Gujarat) ",52,3,0,300,86%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Vilas Baburao Muttemwar,Elected,18-May-09,In office,Maharashtra,Nagpur,Indian National Congress,Male,Graduate,"B. Com.; Educated at Nagpur University, Nagpur (Maharashtra) ",61,14,0,258,71%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Vinay Kumar Pandey,Elected,18-May-09,In office,Uttar Pradesh,Shrawasti,Indian National Congress,Male,Doctorate,"Ph.D. (Paleobotany), M.Sc. (Botany), PG Diploma in Comupter Science, Advanced Ratna, Certificate Course in Processing adn Cultivation of Aromatic and Medical Plants; Educated at RML University Faizabad, Uttar Pradesh (MLK, PG College, Balrampur, Uttar Pra",46,20,0,120,83%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Vincent H Pala,Elected,18-May-09,In office,Meghalaya,Shillong,Indian National Congress,Male,Graduate,"B.E. (Civil); Educated at Jalpaiguri Govt. Engineering College, North Bengal University, New Jalpaiguri, West Bengal",42,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,All MPs from this State are Ministers
Virbhadra Singh,Elected,18-May-09,In office,Himachal Pradesh,Mandi,Indian National Congress,Male,Post Graduate,"B.A., M.A.; Educated at Bishop Cotton`s School, Shimla and St. Stephen`s College, New Delhi",76,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Virender Kashyap,Elected,18-May-09,In office,Himachal Pradesh,Shimla,Bharatiya Janata Party,Male,Post Graduate,M.Sc. (Physics); Educated at Himachal Pradesh University,59,30,0,146,90%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,23.7,0,120,91%,
Virendra Kumar,Elected,18-May-09,In office,Madhya Pradesh,Tikamgarh,Bharatiya Janata Party,Male,Doctorate,"M.A. (Economics), Ph.D (Child Labour); Educated at Dr. Harisingh University, Sagar, Madhya Pradesh",56,28,0,11,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Vishnu Deo Sai,Elected,18-May-09,In office,Chhattisgarh,Raigarh,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Higher Secondary; Educated at Loyola Higher Secondary School, Kunkuri, Jashpur, Chattisgarh",46,1,0,0,54%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,20,64%,
Vishwa Mohan Kumar,Elected,18-May-09,In office,Bihar,Supaul,Janata Dal (United),Male,Post Graduate,M.Sc.,52,13,0,121,81%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Vitthalbhai Hansrajbhai Radadiya,Elected,18-May-09,In office,Gujarat,Porbandar,Indian National Congress,Male,Graduate,B.A.,51,1,0,67,23%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Wakchaure Bhausaheb Rajaram,Elected,18-May-09,In office,Maharashtra,Shirdi,Shiv Sena,Male,Graduate,"B.Com., B.A., LL.B., D.L.L. & L.W., G.A.C. & A., D.E.D.; Educated at Pune University and Ahmednagar",60,4,1,289,67%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Y. S. Jagan Mohan Reddy,Elected,18-May-09,In office,Andhra Pradesh,Kadapa,Indian National Congress,Male,Graduate,B.Com.,37,0,0,0,72%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Yashbant Narayan Singh Laguri,Elected,18-May-09,In office,Orissa,Keonjhar,Biju Janata Dal,Male,Graduate,"B.A.; Educated at C.S. College, Champua, Utakal University",39,7,0,200,74%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Yashodhara Raje Scindia,Elected,18-May-09,In office,Madhya Pradesh,Gwalior,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"Senior Cambridge; Educated at Scindia Kanya Vidyalay, Gwalior (M.P.), Presentation Convent, Kodaikanal, Tamil Nadu",56,6,0,82,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Yashvir Singh,Elected,18-May-09,In office,Uttar Pradesh,Nagina,Samajwadi Party,Male,Graduate,"B.Tech. (Chemical Engg.) Ist; Educated at HBTI Kanpur, Uttar Pradesh",37,0,0,14,91%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Yashwant Sinha,Elected,18-May-09,In office,Jharkhand,Hazaribagh,Bharatiya Janata Party,Male,Post Graduate,"M.A.; Educated at Patna University, Bihar",72,11,0,34,79%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.6,0.3,78,59%,
Yogi Adityanath,Elected,18-May-09,In office,Uttar Pradesh,Gorakhpur,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at H.N.B. Garhwal University, Srinagar (Uttarakhand) ",38,34,4,77,81%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Zafar Ali Naqvi,Elected,18-May-09,In office,Uttar Pradesh,Kheri,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Lucknow University, Lucknow",63,0,0,0,79%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
